Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
Stigler Health and Wel,OK,SALLISAW,"$70,500 ",$578 ,"$1,363 ",POINT (-94.790243 35.459472)
UNIVERSITY OF TEXAS RI,TX,EDINBURG,"$262,196 ","$79,204 ","$1,278 ",POINT (-98.162704 26.299359)
UNIVERSITY OF SOUTH AL,AL,MOBILE,"$22,482 ","$4,817 ","$1,261 ",POINT (-88.044822 30.688943)
Topcare Medical Group,TX,DALLAS,"$1,033 ",$734 ,"$1,217 ",POINT (-96.796215 32.777977)
PRMC HEALTHCARE GROUP,TX,PARIS,$0 ,"$101,907 ","$1,201 ",POINT (-95.55632100000001 33.661426)
SPRING BRANCH COMMUNIT,TX,KATY,"$22,020 ","$10,156 ","$1,195 ",POINT (-95.816531 29.794856999999997)
Valley Doctors Clinic,TX,BROWNSVILLE,$0 ,"$1,035 ","$1,195 ",POINT (-97.498884 25.903046)
University of Georgia,GA,ATHENS,"$36,159 ",$709 ,"$1,184 ",POINT (-83.376798 33.957412000000005)
REHOBOTH MCKINLEY CHRI,NM,GALLUP,"$253,045 ","$149,105 ","$1,170 ",POINT (-108.739769 35.519123)
NATIVE PROJECT,WA,SPOKANE,"$1,134 ",$355 ,"$1,144 ",POINT (-117.42502200000001 47.658999)
Walmart GSS,AR,BENTONVILLE,$0 ,$0 ,"$1,114 ",POINT (-94.202721 36.371868)
COLUMBIA MEMORIAL HOSP,NY,CATSKILL,$0 ,$0 ,"$1,075 ",POINT (-73.864909 42.217608)
SOUTH TEXAS ALLERGY AN,TX,SAN ANTONIO,"$12,405 ",$0 ,"$1,066 ",POINT (-98.494599 29.425172999999997)
LACEY DRUG COMPANY INC,GA,ACWORTH,$0 ,$0 ,"$1,033 ",POINT (-84.677099 34.073655)
Apex Physician Associa,TX,HOUSTON,$816 ,$0 ,"$1,033 ",POINT (-95.369506 29.760803)
WINDSOR HOSPITAL CORPO,VT,WINDSOR,"$24,313 ",$594 ,"$1,018 ",POINT (-72.386431 43.479991)
Topcare Medical Group,TX,FORT WORTH,$0 ,$0 ,$823 ,POINT (-97.340038 32.739977)
Topcare Medical Group,TX,ARLINGTON,$168 ,$165 ,$812 ,POINT (-97.10711 32.735594)
DAHL MEMORIAL CLINIC,AK,ANCHORAGE,$542 ,$49 ,$812 ,POINT (-149.899597 61.21658299999999)
Cotton ONeil Clinic,KS,TOPEKA,"$299,673 ","$2,113 ",$799 ,POINT (-95.67043300000002 39.050976)
THE UNIVERSITY OF TEXA,TX,AUSTIN,"$58,949 ","$10,656 ",$792 ,POINT (-97.746598 30.264979)
Ali Zakir,TX,KATY,$0 ,$0 ,$756 ,POINT (-95.816531 29.794856999999997)
Cotton ONeil Clinic,KS,TOPEKA,"$40,804 ","$14,091 ",$755 ,POINT (-95.67043300000002 39.050976)
Alliance Medical Goup,ID,NAMPA,"$173,748 ","$54,652 ",$753 ,POINT (-116.57358100000002 43.585322)
FLORIDA COMMUNITY HEAL,FL,INDIANTOWN,"$105,942 ","$18,189 ",$731 ,POINT (-80.471029 27.02343)
Clinicas de Salud del,CA,CALEXICO,"$1,303 ",$483 ,$695 ,POINT (-115.498657 32.676607)
Kedren Community Healt,CA,LOS ANGELES,"$507,855 ","$197,020 ",$665 ,POINT (-118.243344 34.052238)
CHEROKEE HEALTH SYSTEM,TN,MORRISTOWN,"$10,364 ",$304 ,$662 ,POINT (-83.295107 36.214459)
Rodrigo Argenal MD PA,TX,EDINBURG,$0 ,$0 ,$659 ,POINT (-98.162704 26.299359)
Robeson County EMS,NC,LUMBERTON,"$40,515 ",$300 ,$650 ,POINT (-79.004529 34.617837)
Rural Urgent Care LLC,AL,BIRMINGHAM,"$784,941 ","$158,367 ",$649 ,POINT (-86.807705 33.522859)
East Texas Community H,TX,NACOGDOCHES,"$246,628 ","$25,879 ",$642 ,POINT (-94.656017 31.603869)
SALINA FAMILY HEALTHCA,KS,SALINA,"$54,568 ","$4,301 ",$641 ,POINT (-97.612409 38.840558)
HIGH COUNTRY COMMUNITY,NC,BOONE,"$24,740 ","$2,592 ",$634 ,POINT (-81.669431 36.20401)
Innovative Platinum Ca,IL,CHICAGO,"$1,298,105 ","$35,612 ",$628 ,POINT (-87.632398 41.88322900000001)
Topcare Medical Group,TX,DALLAS,"$1,013 ",$116 ,$611 ,POINT (-96.796215 32.777977)
TAMPA FAMILY HELATH CE,FL,TAMPA,"$7,968 ",$170 ,$597 ,POINT (-82.458776 27.947423)
Topcare Medical Group,TX,EL PASO,"$1,380 ",$160 ,$587 ,POINT (-106.492257 31.76006)
MURTAZA MUSSAJI DO PA,TX,PEARLAND,$468 ,$111 ,$568 ,POINT (-95.286096 29.563689)
Licking County Health,OH,NEWARK,$0 ,$0 ,$550 ,POINT (-82.405897 40.056807)
FRONTERA HEALTHCARE NE,TX,JUNCTION,"$7,960 ",$771 ,$549 ,POINT (-99.77196 30.489321)
INTERNAL MEDICINE ASSO,TX,PEARLAND,$0 ,$168 ,$541 ,POINT (-95.286096 29.563689)
Rockingham County Publ,NC,WENTWORTH,$23 ,$0 ,$537 ,POINT (-79.774588 36.400012)
UNIFIED WOMENS CARE OF,GA,ATLANTA,$0 ,$0 ,$531 ,POINT (-84.391502 33.748547)
Urgent Care of Oconee,GA,WATKINSVILLE,"$71,091 ","$21,797 ",$529 ,POINT (-83.409173 33.863067)
DAHL MEMORIAL CLINIC,AK,SKAGWAY,"$4,177 ",$0 ,$523 ,POINT (-135.312031 59.458572999999994)
GOLDEN VALLEY HEALTH C,CA,MERCED,"$402,751 ","$51,775 ",$517 ,POINT (-120.48197099999999 37.306968)
Topcare Medical Group,TX,HOUSTON,$233 ,$0 ,$510 ,POINT (-95.369506 29.760803)
HEB GROCERY COMPANY LP,TX,SAN ANTONIO,$0 ,$0 ,$506 ,POINT (-98.494599 29.425172999999997)
SANG MEDICAL CORP,CA,FRESNO,$103 ,$0 ,$499 ,POINT (-119.78585600000001 36.731654)
MAYO CLINIC ARIZONA,AZ,PHOENIX,"$174,990 ","$331,164 ",$496 ,POINT (-112.072585 33.448204)
MAINE MEDICAL PARTNERS,ME,PORTLAND,$46 ,"$3,894 ",$474 ,POINT (-70.256519 43.659218)
CVS PHARMACY,IL,CHICAGO,$0 ,$0 ,$469 ,POINT (-87.632398 41.88322900000001)
TOTH ENTERPRISES,TX,AUSTIN,"$9,728 ",$419 ,$467 ,POINT (-97.746598 30.264979)
GRACE COTTAGE FAMILY H,VT,TOWNSHEND,"$6,807 ",$187 ,$455 ,POINT (-72.667564 43.048706)
ALBEMARLE REGIONAL HEA,NC,ELIZABETH CITY,"$55,170 ",$0 ,$439 ,POINT (-76.223253 36.302126)
NORTH COUNTRY HOSPITAL,VT,NEWPORT,"$4,906 ",$0 ,$412 ,POINT (-72.208059 44.936195)
COASTAL COMMUNITY HEAL,GA,BRUNSWICK,"$11,642 ",$72 ,$409 ,POINT (-81.50248 31.168992)
BEAUFORT COUNTY HEALTH,NC,WASHINGTON,"$81,050 ","$9,804 ",$409 ,POINT (-77.05202 35.546577)
Buncombe County Depart,NC,ASHEVILLE,$0 ,$0 ,$405 ,POINT (-82.550039 35.59588900000001)
Lincoln Community Heal,NC,DURHAM,"$263,589 ","$20,201 ",$390 ,POINT (-78.899023 35.996948)
MURTAZA MUSSAJI DO PA,TX,HOUSTON,$314 ,$154 ,$384 ,POINT (-95.369506 29.760803)
Associated Clinicians,TX,LONGVIEW,"$31,679 ","$48,335 ",$381 ,POINT (-94.742336 32.494556)
DOCTOR EXPRESS,PA,DOWNINGTOWN,"$482,007 ","$4,732 ",$369 ,POINT (-75.705961 40.005305)
MAYO CLINIC HEALTH SYS,WI,BARRON,"$46,775 ","$6,975 ",$366 ,POINT (-91.841623 45.401287)
Maine Medical Center,ME,BELFAST,$563 ,$215 ,$365 ,POINT (-69.007424 44.425496)
CALDWELL DISCOUNT DRUG,AR,WYNNE,$0 ,$0 ,$361 ,POINT (-90.787121 35.223551)
WAYNE MEMORIAL COMMUNI,PA,HONESDALE,$74 ,$75 ,$360 ,POINT (-75.256764 41.577395)
Walmart Vision Center,AR,BENTONVILLE,$0 ,$0 ,$337 ,POINT (-94.202721 36.371868)
Vaxwell,TX,AUSTIN,$0 ,$0 ,$333 ,POINT (-97.746598 30.264979)
PALOUSE MEDICAL PS,WA,PULLMAN,"$11,569 ","$1,486 ",$329 ,POINT (-117.181834 46.729725)
TAMPA FAMILY HELATH CE,FL,TAMPA,"$2,253 ",$0 ,$315 ,POINT (-82.458776 27.947423)
BEACON CHRISTIAN COMM,NY,STATEN ISLAND,"$20,635 ",$0 ,$306 ,POINT (-74.076203 40.643498)
Community Health Cente,KY,GUTHRIE,$112 ,$0 ,$295 ,POINT (-87.166563 36.648761)
Maine Medical Center,ME,ROCKPORT,"$13,745 ",$522 ,$286 ,POINT (-69.079891 44.189505)
Topcare Medical Group,TX,HOUSTON,$0 ,$0 ,$277 ,POINT (-95.369506 29.760803)
Topcare Medical Group,TX,DALLAS,$347 ,$180 ,$272 ,POINT (-96.796215 32.777977)
Doctors Care PA,SC,COLUMBIA,"$40,298 ","$8,280 ",$271 ,POINT (-81.037094 34.009286)
GRACEMED HEALTH CLINIC,KS,WICHITA,$96 ,"$225,836 ",$265 ,POINT (-97.335571 37.686024)
EL PASO WELLNESS ASSOC,TX,EL PASO,$0 ,$0 ,$264 ,POINT (-106.492257 31.76006)
SHANNON CLINIC,TX,SAN ANGELO,"$550,310 ","$186,012 ",$261 ,POINT (-100.437304 31.46378)
CENTER FOR HEALTH EDUC,NJ,LAKEWOOD,"$680,431 ","$15,776 ",$254 ,POINT (-74.216273 40.08991)
EL PASO PULMONARY ASSO,TX,EL PASO,$46 ,"$338,589 ",$250 ,POINT (-106.492257 31.76006)
TAMPA FAMILY HELATH CE,FL,TAMPA,$979 ,$0 ,$232 ,POINT (-82.458776 27.947423)
FRONTERA HEALTHCARE NE,TX,EDEN,"$95,734 ","$5,349 ",$228 ,POINT (-99.845652 31.216335000000004)
DOUGLAS COUNTY HOSPITA,MN,ALEXANDRIA,"$89,004 ","$27,125 ",$226 ,POINT (-95.377529 45.889471)
EXCEL URGENT CARE PLLC,TX,HOUSTON,"$41,253 ","$6,099 ",$226 ,POINT (-95.369506 29.760803)
UNIVERSITY OF TEXAS RI,TX,HARLINGEN,"$175,543 ","$56,120 ",$217 ,POINT (-97.696108 26.190649)
SAINT FRANCIS HEALTHCA,MO,CAPE GIRARDEAU,"$56,547 ","$376,267 ",$216 ,POINT (-89.552421 37.313167)
CLASSEN URGENT CARE CL,OK,NORMAN,"$81,924 ","$23,498 ",$206 ,POINT (-97.445943 35.221051)
Cole County Missouri,MO,JEFFERSON CITY,$0 ,$0 ,$205 ,POINT (-92.187689 38.577896)
Cotton ONeil Clinic,KS,MANHATTAN,$910 ,$526 ,$201 ,POINT (-96.549656 39.190363)
WESLEY COMMUNITY CENTE,AZ,PHOENIX,"$63,396 ","$12,430 ",$198 ,POINT (-112.072585 33.448204)
THE ARIZONA PARTNERSHI,AZ,APACHE JUNCTION,$0 ,$0 ,$198 ,POINT (-111.550262 33.414629)
CVS PHARMACY,OH,MAINEVILLE,$0 ,$0 ,$194 ,POINT (-84.220769 39.315034)
Stigler Health and Wel,OK,STIGLER,"$5,276 ",$165 ,$189 ,POINT (-95.122361 35.253391)
JOHN FITZGIBBON MEMORI,MO,MARSHALL,"$28,995 ","$6,949 ",$185 ,POINT (-93.19492 39.114478)
Southern Illinois Heal,IL,CENTREVILLE,$274 ,$448 ,$184 ,POINT (-90.121028 38.574752)
Heart of Florida Healt,FL,OCALA,"$121,341 ","$5,792 ",$182 ,POINT (-82.137789 29.189311000000004)
FAMILY MEDICINE ASSOC,TX,ROUND ROCK,$823 ,$109 ,$180 ,POINT (-97.678805 30.508556000000002)
Topcare Medical Group,TX,FORT WORTH,$0 ,$0 ,$179 ,POINT (-97.340038 32.739977)
Topcare Medical Group,TX,EL PASO,$0 ,$0 ,$179 ,POINT (-106.492257 31.76006)
Forman Drug Inc,ND,FORMAN,$0 ,$0 ,$178 ,POINT (-97.633638 46.104703)
Doctors Care PA,SC,COLUMBIA,"$33,478 ","$4,314 ",$175 ,POINT (-81.037094 34.009286)
CHEROKEE HEALTH SYSTEM,TN,MEMPHIS,"$1,800 ",$0 ,$173 ,POINT (-90.052136 35.143378)
Topcare Medical Group,TX,BELLAIRE,$0 ,$0 ,$170 ,POINT (-95.455438 29.704482)
BEAUMONT FAMILY PRACIT,TX,BEAUMONT,$0 ,$0 ,$168 ,POINT (-94.102012 30.08617)
TAMPA FAMILY HELATH CE,FL,TAMPA,"$1,177 ",$0 ,$166 ,POINT (-82.458776 27.947423)
Doctors Care PA,SC,SPARTANBURG,"$29,933 ","$9,596 ",$162 ,POINT (-81.934664 34.947914)
Doctors Care PA,SC,CHARLESTON,"$112,481 ","$19,506 ",$161 ,POINT (-79.931027 32.77647)
Topcare Medical Group,TX,DALLAS,$116 ,$116 ,$158 ,POINT (-96.796215 32.777977)
LEE MEMORIAL HEALTH SY,FL,CAPE CORAL,$0 ,$0 ,$157 ,POINT (-81.956363 26.629814)
ALI ANARI MD INC,CA,SAN FERNANDO,$500 ,"$340,557 ",$153 ,POINT (-118.44174400000001 34.282984)
COLUMBIA VALLEY COMMUN,WA,WENATCHEE,$512 ,"$9,419 ",$152 ,POINT (-120.324699 47.429826)
MOSES LAKE COMMUNITY H,WA,MOSES LAKE,"$103,543 ","$60,007 ",$152 ,POINT (-119.277719 47.131604)
Cotton ONeil Clinic,KS,WAMEGO,$459 ,$0 ,$149 ,POINT (-96.305064 39.20343)
LEE MEMORIAL HEALTH SY,FL,FORT MYERS,"$440,640 ","$1,251,315 ",$139 ,POINT (-81.825769 26.614149)
TAMPA FAMILY HELATH CE,FL,TAMPA,"$2,259 ",$123 ,$133 ,POINT (-82.458776 27.947423)
PONDEROSA FAMILY CARE,AZ,PAYSON,"$50,734 ",$199 ,$132 ,POINT (-111.323154 34.23524)
South Plains Rural Hea,TX,BIG SPRING,"$6,342 ","$1,718 ",$131 ,POINT (-101.472454 32.240415)
Saint Agnes Medical Fo,CA,FRESNO,"$2,130 ",$135 ,$129 ,POINT (-119.78585600000001 36.731654)
FRANKLIN PRIMARY HEALT,AL,FRISCO CITY,$0 ,$0 ,$127 ,POINT (-87.40237 31.432857)
Korean Community Servi,CA,BUENA PARK,$770 ,$614 ,$125 ,POINT (-117.99805100000002 33.863144)
PRIMARY HEALTH NETWORK,PA,TITUSVILLE,$156 ,$0 ,$125 ,POINT (-79.669609 41.627221)
Rocky Mountain Family,CO,LEADVILLE,"$29,676 ","$5,967 ",$123 ,POINT (-106.291951 39.248791)
LEE MEMORIAL HEALTH SY,FL,CAPE CORAL,$47 ,$0 ,$122 ,POINT (-81.956363 26.629814)
VALLEY FAMILY HEALTH C,ID,PAYETTE,"$14,335 ","$1,975 ",$121 ,POINT (-116.935009 44.072608)
FLORIDA COMMUNITY HEAL,FL,PAHOKEE,"$184,389 ",$591 ,$117 ,POINT (-80.661263 26.820253)
FLORIDA COMMUNITY HEAL,FL,OKEECHOBEE,"$130,773 ","$1,505 ",$116 ,POINT (-80.828682 27.238985000000003)
THE ARIZONA PARTNERSHI,AZ,YUMA,$0 ,$0 ,$116 ,POINT (-114.62088000000001 32.722313)
SPECTRUM HEALTHCARE GR,AZ,PRESCOTT,"$51,541 ","$4,334 ",$116 ,POINT (-112.470124 34.541445)
HARNETT COUNTY EMS,NC,LILLINGTON,"$8,879 ",$0 ,$114 ,POINT (-78.818626 35.392757)
Doctors Care PA,SC,CAYCE,"$145,417 ","$26,931 ",$113 ,POINT (-81.080225 33.961486)
William J Fieldsmith M,TX,ROCKWALL,$410 ,$0 ,$109 ,POINT (-96.45865 32.931051)
Frontier Pediatric Par,ID,TWIN FALLS,"$1,965 ",$0 ,$109 ,POINT (-114.46027800000002 42.563181)
BROCKTON NEIGHBORHOOD,MA,BROCKTON,"$6,597 ","$7,285 ",$107 ,POINT (-71.019903 42.083299)
Doctors Care PA,SC,CONWAY,"$25,082 ","$5,457 ",$106 ,POINT (-79.059913 33.837943)
FLORIDA COMMUNITY HEAL,FL,MOORE HAVEN,"$16,059 ","$10,924 ",$100 ,POINT (-81.098426 26.834454)
Direct Urgent Care1417,CA,PASADENA,"$456,620 ","$16,132 ",$96 ,POINT (-118.141452 34.14955)
MADISON REGIONAL HEALT,SD,MADISON,"$15,136 ","$14,482 ",$95 ,POINT (-97.11319 44.007200000000005)
AHS OKLAHOMA PHYS GROU,OK,TULSA,$0 ,"$24,873 ",$94 ,POINT (-95.992083 36.155327)
THE GREENVILLE CLINIC,MS,GREENVILLE,$138 ,$0 ,$92 ,POINT (-91.05346300000001 33.399438)
Las Clinicas del Norte,NM,EL RITO,"$3,650 ",$0 ,$91 ,POINT (-105.56720000000001 36.79999900000001)
LEE MEMORIAL HEALTH SY,FL,FORT MYERS,$97 ,$308 ,$87 ,POINT (-81.825769 26.614149)
Texas Behavioral Healt,TX,PEARLAND,$0 ,$0 ,$87 ,POINT (-95.286096 29.563689)
Sunshine Community Hea,AK,WILLOW,$872 ,$98 ,$85 ,POINT (-150.040112 61.736483)
CVS PHARMACY INC,RI,WOONSOCKET,$0 ,$0 ,$85 ,POINT (-71.505472 42.000971)
Clinicas de Salud del,CA,EL CENTRO,"$2,599 ","$1,863 ",$85 ,POINT (-115.565551 32.792855)
PATIENTS FIRST MEDICAL,AK,ANCHORAGE,$0 ,$0 ,$85 ,POINT (-149.899597 61.21658299999999)
CVS PHARMACY,MD,ELKRIDGE,$0 ,$0 ,$85 ,POINT (-76.70969 39.21662100000001)
MCHS ALBERT LEA,MN,AUSTIN,"$51,465 ","$78,069 ",$85 ,POINT (-92.974829 43.670395)
STAT MED PC A CALIFORN,CA,DUBLIN,"$37,097 ","$1,845 ",$84 ,POINT (-121.927001 37.710083)
Community Health Cente,KY,RUSSELLVILLE,$0 ,$481 ,$83 ,POINT (-86.887451 36.845436)
MY DR NOW,AZ,GILBERT,"$28,761 ",$119 ,$83 ,POINT (-111.79034 33.330732)
RURAL HEALTHCARE INC,FL,KEYSTONE HEIGHTS,"$7,215 ",$51 ,$83 ,POINT (-82.031003 29.783566000000004)
Topcare Medical Group,TX,EL PASO,$51 ,$0 ,$82 ,POINT (-106.492257 31.76006)
Bear River District He,UT,LOGAN,$0 ,$0 ,$81 ,POINT (-111.834857 41.735211)
UNITED METHODIST MEXIC,KS,GARDEN CITY,"$19,023 ","$3,791 ",$80 ,POINT (-100.85864600000001 37.974981)
AFC URGENT CARE,NY,EAST MEADOW,"$53,782 ","$10,710 ",$79 ,POINT (-73.559501 40.714157)
CASTLE ROCK SPECIAL  H,WY,GREEN RIVER,"$19,547 ",$762 ,$79 ,POINT (-109.468634 41.516933)
Maine Medical Center,ME,NORWAY,"$5,222 ",$395 ,$79 ,POINT (-70.534799 44.211222)
Community Health Cente,KY,GREENVILLE,$278 ,$0 ,$78 ,POINT (-87.17854 37.201149)
North Canyon Medical C,ID,GOODING,"$1,390 ","$24,492 ",$78 ,POINT (-114.71287799999999 42.937528)
Eileen Coulston,AZ,SIERRA VISTA,"$3,581 ",$406 ,$77 ,POINT (-110.281995 31.554692)
Saint Agnes Medical Fo,CA,FRESNO,"$2,065 ","$24,613 ",$77 ,POINT (-119.78585600000001 36.731654)
GRAND RONDE HEALTH AND,OR,GRAND RONDE,"$2,350 ",$221 ,$76 ,POINT (-123.61080999999999 45.060336)
AHS OKLAHOMA PHYS GROU,OK,BIXBY,$0 ,$0 ,$74 ,POINT (-95.883173 35.942372)
MCFARLAND CLINIC,IA,MARSHALLTOWN,"$23,163 ","$7,076 ",$74 ,POINT (-92.912686 42.034679)
LEE MEMORIAL HEALTH SY,FL,NORTH FORT MYERS,$0 ,$67 ,$70 ,POINT (-81.888095 26.667277)
LEE MEMORIAL HEALTH SY,FL,LEHIGH ACRES,$0 ,$0 ,$70 ,POINT (-81.634164 26.611077)
LEE MEMORIAL HEALTH SY,FL,CAPE CORAL,$0 ,$0 ,$70 ,POINT (-81.956363 26.629814)
Doctors Care PA,SC,NEWBERRY,$0 ,$0 ,$68 ,POINT (-81.610092 34.278686)
Family HealthCare Netw,CA,VISALIA,"$73,262 ","$29,296 ",$68 ,POINT (-119.29888000000001 36.33012)
Doctors Care PA,SC,COLUMBIA,"$3,170 ","$1,355 ",$68 ,POINT (-81.037094 34.009286)
Doctors Care PA,SC,LEXINGTON,"$2,746 ",$225 ,$68 ,POINT (-81.238363 33.981298)
GLENNS FERRY HEALTH CE,ID,MOUNTAIN HOME,"$9,822 ","$3,195 ",$67 ,POINT (-115.694554 43.132808)
TAMPA FAMILY HELATH CE,FL,TAMPA,$284 ,$0 ,$66 ,POINT (-82.458776 27.947423)
TAMPA FAMILY HELATH CE,FL,TAMPA,$0 ,$0 ,$66 ,POINT (-82.458776 27.947423)
TAMPA FAMILY HELATH CE,FL,TAMPA,$87 ,$45 ,$66 ,POINT (-82.458776 27.947423)
HYNDMAN AREA HEALTH CE,PA,HYNDMAN,"$1,377 ",$460 ,$66 ,POINT (-78.720651 39.820271)
Senior Pharmacy Servic,TX,CARROLLTON,$0 ,$0 ,$65 ,POINT (-96.889788 32.975541)
PIEDMONT HEALTH SERVIC,NC,MONCURE,"$88,878 ","$5,161 ",$65 ,POINT (-79.076953 35.622969000000005)
Doctors Care PA,SC,AIKEN,$609 ,$395 ,$64 ,POINT (-81.71615 33.563871)
UNITED METHODIST MEXIC,KS,ULYSSES,"$2,665 ",$970 ,$64 ,POINT (-101.35804100000001 37.580796)
KIAMICHI FAMILY MEDICA,OK,BROKEN BOW,"$11,221 ","$3,881 ",$63 ,POINT (-94.73894 34.026376)
Caring Hands Healthcar,OK,MCALESTER,"$25,722 ","$1,184 ",$63 ,POINT (-95.766566 34.933784)
VARIETY CARE INC,OK,OKLAHOMA CITY,"$3,746 ",$711 ,$63 ,POINT (-97.521264 35.468494)
CVS PHARMACY,OK,WARR ACRES,$0 ,$0 ,$63 ,POINT (-97.618941 35.519992)
MEMORIAL HOSPITAL,ID,WEISER,"$16,892 ","$37,099 ",$62 ,POINT (-116.96987800000001 44.246352)
PR HEALTHCARE MANAGEME,PR,NAGUABO,$0 ,$0 ,$62 ,POINT (-65.733285 18.208722000000005)
FRANKLIN COUNTY MEMORI,MS,MEADVILLE,"$7,593 ","$4,573 ",$61 ,POINT (-90.89793300000001 31.471443)
Hegg Memorial,IA,ROCK VALLEY,"$6,612 ","$29,900 ",$58 ,POINT (-96.298013 43.199972)
COVENANT CLINIC,IA,WATERLOO,"$3,724 ","$238,340 ",$58 ,POINT (-92.34364 42.493469)
ALASKA CENTER FOR PEDI,AK,ANCHORAGE,$0 ,$0 ,$56 ,POINT (-149.899597 61.21658299999999)
SHORE MEMORIAL PHYSICI,NJ,SOMERS POINT,$0 ,$0 ,$56 ,POINT (-74.596285 39.312717000000006)
URGENT CARE SPECIALIST,MA,HOLDEN,$0 ,$0 ,$54 ,POINT (-71.862024 42.350553)
PHYSICIAN HOUSECALLS L,CO,WHEAT RIDGE,$0 ,$0 ,$53 ,POINT (-105.093757 39.769331)
AUSTIN REGIONAL CLINIC,TX,AUSTIN,"$132,618 ","$5,894 ",$53 ,POINT (-97.746598 30.264979)
LEE MEMORIAL HEALTH SY,FL,FORT MYERS,$0 ,$0 ,$52 ,POINT (-81.825769 26.614149)
Family Care Network,WA,BELLINGHAM,"$2,779 ",$122 ,$51 ,POINT (-122.478122 48.754899)
Premier Healthcare,NY,BROOKLYN,"$2,277 ",$0 ,$51 ,POINT (-73.990996 40.692529)
Clinicas de Salud del,CA,BLYTHE,"$21,891 ","$6,424 ",$51 ,POINT (-114.59682699999999 33.610437)
GWINNETT PULMONARY GRO,GA,LAWRENCEVILLE,$0 ,"$45,660 ",$51 ,POINT (-83.988245 33.955)
CVS PHARMACY,IL,CHICAGO,$0 ,$0 ,$51 ,POINT (-87.632398 41.88322900000001)
Clinicas de Salud del,CA,HEMET,$620 ,$293 ,$51 ,POINT (-116.967316 33.747562)
TAMPA FAMILY HELATH CE,FL,TAMPA,$0 ,$0 ,$50 ,POINT (-82.458776 27.947423)
Northland Health Partn,ND,TURTLE LAKE,"$3,001 ",$471 ,$50 ,POINT (-100.886422 47.517762000000005)
NORTH FLORIDA MEDICAL,FL,PANACEA,"$4,133 ",$75 ,$50 ,POINT (-84.387994 30.037387999999996)
THE ARIZONA PARTNERSHI,AZ,GLOBE,$0 ,$0 ,$50 ,POINT (-110.789202 33.396218)
HYNDMAN AREA HEALTH CE,PA,JOHNSTOWN,$182 ,$0 ,$49 ,POINT (-78.917492 40.325942000000005)
South Plains Rural Hea,TX,LAMESA,"$1,393 ",$0 ,$49 ,POINT (-101.951477 32.736568)
MADRAS MEDICAL GROUP P,OR,MADRAS,"$2,959 ",$359 ,$49 ,POINT (-121.130677 44.629007)
South Plains Rural Hea,TX,LEVELLAND,"$4,557 ",$571 ,$49 ,POINT (-102.365124 33.587855)
HIGH COUNTRY COMMUNITY,NC,ELKIN,"$2,659 ",$680 ,$49 ,POINT (-80.851666 36.248106)
HEALTH PARTNERS OF WES,OH,LIMA,"$36,775 ","$2,143 ",$49 ,POINT (-84.104987 40.742696)
